Generating full dataset...
Process 0: Noise detected in record 13, parameter 43
Process 0: Noise detected in record 626, parameter 35
Process 1: Noise detected in record 617, parameter 38
Process 1: Noise detected in record 635, parameter 0
Process 1: Noise detected in record 648, parameter 25
Process 0: Noise detected in record 685, parameter 29
Process 1: Noise detected in record 682, parameter 14
Process 0: Noise detected in record 721, parameter 29
Process 0: Noise detected in record 721, parameter 44
Process 0: Noise detected in record 730, parameter 32
Process 0: Noise detected in record 752, parameter 18
Process 1: Noise detected in record 700, parameter 29
Process 1: Noise detected in record 739, parameter 13
Process 1: Noise detected in record 745, parameter 17
Process 0: Noise detected in record 779, parameter 17
Process 1: Noise detected in record 749, parameter 47
Process 0: Noise detected in record 825, parameter 42
Process 1: Noise detected in record 776, parameter 38
Process 1: Noise detected in record 807, parameter 3
Process 1: Noise detected in record 821, parameter 5
Process 0: Noise detected in record 964, parameter 39
Process 1: Noise detected in record 896, parameter 35
Process 1: Noise detected in record 898, parameter 45
Process 1: Noise detected in record 905, parameter 34
Process 0: Cleaning completed
Process 1: Noise detected in record 912, parameter 9
Process 1: Noise detected in record 915, parameter 26
Total records processed across all processes: 944000
Process 1: Cleaning completed
Process 0: Noise detected in record 138, parameter 46
Process 0: Noise detected in record 144, parameter 47
Process 0: Noise detected in record 183, parameter 11
Process 0: Noise detected in record 202, parameter 43
Process 0: Noise detected in record 212, parameter 26
Process 1: Noise detected in record 76, parameter 28
Process 1: Noise detected in record 79, parameter 22
Process 1: Noise detected in record 95, parameter 19
Process 1: Noise detected in record 119, parameter 40
Process 1: Noise detected in record 140, parameter 19
Process 1: Noise detected in record 172, parameter 37
Process 1: Noise detected in record 207, parameter 7
Process 0: Noise detected in record 297, parameter 1
Process 1: Noise detected in record 244, parameter 42
Process 0: Noise detected in record 343, parameter 39
Process 0: Noise detected in record 389, parameter 25
Process 1: Noise detected in record 403, parameter 46
Process 0: Noise detected in record 450, parameter 30
Process 1: Noise detected in record 447, parameter 32
Process 1: Noise detected in record 459, parameter 14
Process 1: Noise detected in record 472, parameter 45
Process 0: Noise detected in record 549, parameter 39
Process 1: Noise detected in record 477, parameter 30
Process 0: Noise detected in record 657, parameter 3
Process 1: Noise detected in record 537, parameter 42
Process 0: Noise detected in record 685, parameter 13
Process 1: Noise detected in record 546, parameter 0
Process 0: Noise detected in record 724, parameter 26
Process 1: Noise detected in record 608, parameter 27
Process 1: Noise detected in record 609, parameter 4
Process 0: Noise detected in record 750, parameter 25
Process 1: Noise detected in record 635, parameter 37
Process 0: Noise detected in record 777, parameter 31
Process 1: Noise detected in record 651, parameter 46
Process 0: Noise detected in record 803, parameter 37
Process 0: Noise detected in record 833, parameter 15
Process 0: Noise detected in record 863, parameter 17
Process 0: Noise detected in record 885, parameter 25
Process 0: Noise detected in record 902, parameter 47
Process 1: Noise detected in record 763, parameter 31
Process 1: Noise detected in record 781, parameter 12
Process 0: Noise detected in record 985, parameter 31
Process 0: Cleaning completed
Process 1: Noise detected in record 824, parameter 44
Process 1: Noise detected in record 832, parameter 49
Process 1: Noise detected in record 835, parameter 33
Process 1: Noise detected in record 842, parameter 3
Process 1: Noise detected in record 876, parameter 0
Process 1: Noise detected in record 877, parameter 0
Process 1: Noise detected in record 888, parameter 16
Process 1: Noise detected in record 923, parameter 24
Process 1: Noise detected in record 956, parameter 21
Process 1: Noise detected in record 961, parameter 39
Process 1: Noise detected in record 994, parameter 42
Process 1: Cleaning completed
Total records processed across all processes: 946000
Process 0: Noise detected in record 0, parameter 11
Process 0: Noise detected in record 43, parameter 16
Process 0: Noise detected in record 104, parameter 1
Process 0: Noise detected in record 132, parameter 22
Process 1: Noise detected in record 80, parameter 10
Process 1: Noise detected in record 81, parameter 1
Process 0: Noise detected in record 251, parameter 48
Process 0: Noise detected in record 253, parameter 39
Process 1: Noise detected in record 150, parameter 16
Process 0: Noise detected in record 415, parameter 40
Process 0: Noise detected in record 424, parameter 33
Process 1: Noise detected in record 229, parameter 49
Process 1: Noise detected in record 247, parameter 16
Process 1: Noise detected in record 257, parameter 46
Process 1: Noise detected in record 276, parameter 48
Process 0: Noise detected in record 455, parameter 5
Process 0: Noise detected in record 465, parameter 28
Process 0: Noise detected in record 467, parameter 45
Process 1: Noise detected in record 348, parameter 42
Process 0: Noise detected in record 478, parameter 41
Process 1: Noise detected in record 411, parameter 5
Process 1: Noise detected in record 424, parameter 7
Process 1: Noise detected in record 430, parameter 32
Process 0: Noise detected in record 600, parameter 32
Process 0: Noise detected in record 607, parameter 24
Process 0: Noise detected in record 611, parameter 30
Process 0: Noise detected in record 615, parameter 10
Process 0: Noise detected in record 617, parameter 10
Process 0: Noise detected in record 658, parameter 18
Process 1: Noise detected in record 520, parameter 31
Process 1: Noise detected in record 537, parameter 47
Process 0: Noise detected in record 721, parameter 38
Process 0: Noise detected in record 724, parameter 6
Process 0: Noise detected in record 743, parameter 12
Process 0: Noise detected in record 757, parameter 38
Process 1: Noise detected in record 641, parameter 18
Process 0: Noise detected in record 811, parameter 31
Process 0: Noise detected in record 813, parameter 41
Process 1: Noise detected in record 760, parameter 0
Process 1: Noise detected in record 772, parameter 37
Process 0: Noise detected in record 911, parameter 23
Process 0: Noise detected in record 920, parameter 6
Process 0: Noise detected in record 974, parameter 18
Process 1: Noise detected in record 863, parameter 28
Process 0: Cleaning completed
Process 1: Noise detected in record 872, parameter 1
Process 1: Noise detected in record 911, parameter 21
Process 1: Noise detected in record 916, parameter 41
Process 1: Noise detected in record 921, parameter 40
Total records processed across all processes: 948000
Process 1: Cleaning completed
Process 0: Noise detected in record 1, parameter 35
Process 1: Noise detected in record 33, parameter 23
Process 1: Noise detected in record 69, parameter 19
Process 0: Noise detected in record 118, parameter 9
Process 0: Noise detected in record 136, parameter 48
Process 1: Noise detected in record 239, parameter 33
Process 1: Noise detected in record 265, parameter 38
Process 0: Noise detected in record 157, parameter 43
Process 0: Noise detected in record 160, parameter 39
Process 1: Noise detected in record 287, parameter 21
Process 0: Noise detected in record 179, parameter 38
Process 1: Noise detected in record 396, parameter 21
Process 0: Noise detected in record 428, parameter 13
Process 0: Noise detected in record 455, parameter 17
Process 0: Noise detected in record 457, parameter 37
Process 1: Noise detected in record 539, parameter 23
Process 0: Noise detected in record 543, parameter 20
Process 1: Noise detected in record 580, parameter 36
Process 1: Noise detected in record 597, parameter 23
Process 1: Noise detected in record 645, parameter 25
Process 1: Noise detected in record 660, parameter 24
Process 0: Noise detected in record 663, parameter 24
Process 1: Noise detected in record 709, parameter 24
Process 1: Noise detected in record 799, parameter 8
Process 0: Noise detected in record 733, parameter 29
Process 1: Noise detected in record 859, parameter 39
Process 1: Noise detected in record 860, parameter 36
Process 1: Noise detected in record 930, parameter 4
Process 0: Noise detected in record 872, parameter 4
Process 0: Noise detected in record 878, parameter 28
Process 1: Cleaning completed
Process 0: Noise detected in record 887, parameter 8
Process 0: Noise detected in record 941, parameter 20
Process 0: Noise detected in record 970, parameter 40
Process 0: Cleaning completed
Total records processed across all processes: 950000
Process 1: Noise detected in record 4, parameter 38
Process 1: Noise detected in record 65, parameter 17
Process 0: Noise detected in record 67, parameter 25
Process 0: Noise detected in record 70, parameter 40
Process 0: Noise detected in record 154, parameter 34
Process 1: Noise detected in record 82, parameter 10
Process 0: Noise detected in record 220, parameter 34
Process 0: Noise detected in record 259, parameter 27
Process 1: Noise detected in record 162, parameter 31
Process 1: Noise detected in record 170, parameter 2
Process 0: Noise detected in record 329, parameter 12
Process 0: Noise detected in record 355, parameter 14
Process 0: Noise detected in record 395, parameter 36
Process 1: Noise detected in record 267, parameter 19
Process 1: Noise detected in record 272, parameter 30
Process 0: Noise detected in record 415, parameter 22
Process 0: Noise detected in record 449, parameter 48
Process 0: Noise detected in record 455, parameter 19
Process 1: Noise detected in record 360, parameter 6
Process 1: Noise detected in record 383, parameter 15
Process 0: Noise detected in record 477, parameter 3
Process 1: Noise detected in record 385, parameter 43
Process 1: Noise detected in record 436, parameter 5
Process 0: Noise detected in record 572, parameter 44
Process 0: Noise detected in record 606, parameter 7
Process 0: Noise detected in record 624, parameter 9
Process 1: Noise detected in record 492, parameter 28
Process 1: Noise detected in record 493, parameter 38
Process 0: Noise detected in record 762, parameter 44
Process 0: Noise detected in record 793, parameter 21
Process 1: Noise detected in record 599, parameter 13
Process 0: Noise detected in record 795, parameter 35
Process 0: Noise detected in record 814, parameter 31
Process 1: Noise detected in record 684, parameter 39
Process 0: Noise detected in record 862, parameter 2
Process 0: Noise detected in record 881, parameter 30
Process 0: Noise detected in record 930, parameter 30
Process 1: Noise detected in record 724, parameter 23
Process 1: Noise detected in record 732, parameter 7
Process 0: Noise detected in record 976, parameter 11
Process 0: Cleaning completed
Process 1: Noise detected in record 873, parameter 47
Process 1: Noise detected in record 896, parameter 29
Process 1: Noise detected in record 917, parameter 41
Process 1: Noise detected in record 942, parameter 18
Process 1: Noise detected in record 953, parameter 12
Process 1: Cleaning completed
Total records processed across all processes: 952000
Process 0: Noise detected in record 16, parameter 33
Process 0: Noise detected in record 53, parameter 24
Process 1: Noise detected in record 31, parameter 49
Process 1: Noise detected in record 33, parameter 42
Process 1: Noise detected in record 51, parameter 20
Process 0: Noise detected in record 205, parameter 33
Process 1: Noise detected in record 90, parameter 19
Process 1: Noise detected in record 99, parameter 24
Process 1: Noise detected in record 131, parameter 19
Process 1: Noise detected in record 158, parameter 47
Process 1: Noise detected in record 161, parameter 25
Process 0: Noise detected in record 382, parameter 16
Process 1: Noise detected in record 185, parameter 45
Process 1: Noise detected in record 191, parameter 23
Process 0: Noise detected in record 394, parameter 10
Process 1: Noise detected in record 244, parameter 33
Process 1: Noise detected in record 273, parameter 35
Process 1: Noise detected in record 277, parameter 49
Process 1: Noise detected in record 339, parameter 3
Process 0: Noise detected in record 570, parameter 20
Process 0: Noise detected in record 592, parameter 29
Process 0: Noise detected in record 597, parameter 4
Process 0: Noise detected in record 617, parameter 2
Process 0: Noise detected in record 667, parameter 41
Process 0: Noise detected in record 715, parameter 14
Process 0: Noise detected in record 726, parameter 15
Process 0: Noise detected in record 747, parameter 31
Process 1: Noise detected in record 556, parameter 1
Process 0: Noise detected in record 837, parameter 6
Process 1: Noise detected in record 637, parameter 27
Process 1: Noise detected in record 659, parameter 27
Process 0: Noise detected in record 896, parameter 15
Process 0: Noise detected in record 897, parameter 49
Process 0: Noise detected in record 965, parameter 13
Process 0: Noise detected in record 987, parameter 48
Process 0: Cleaning completed
Process 1: Noise detected in record 785, parameter 19
Process 1: Noise detected in record 913, parameter 3
Process 1: Noise detected in record 945, parameter 25
Process 1: Noise detected in record 978, parameter 14
Process 1: Noise detected in record 981, parameter 28
Process 1: Cleaning completed
Total records processed across all processes: 954000
Process 0: Noise detected in record 132, parameter 42
Process 0: Noise detected in record 137, parameter 21
Process 1: Noise detected in record 4, parameter 31
Process 1: Noise detected in record 28, parameter 35
Process 1: Noise detected in record 29, parameter 33
Process 1: Noise detected in record 38, parameter 25
Process 1: Noise detected in record 51, parameter 10
Process 1: Noise detected in record 53, parameter 21
Process 0: Noise detected in record 172, parameter 43
Process 1: Noise detected in record 65, parameter 24
Process 0: Noise detected in record 204, parameter 33
Process 0: Noise detected in record 287, parameter 46
Process 1: Noise detected in record 243, parameter 27
Process 1: Noise detected in record 254, parameter 16
Process 0: Noise detected in record 421, parameter 19
Process 0: Noise detected in record 459, parameter 12
Process 0: Noise detected in record 469, parameter 27
Process 1: Noise detected in record 324, parameter 26
Process 0: Noise detected in record 504, parameter 34
Process 1: Noise detected in record 382, parameter 48
Process 0: Noise detected in record 575, parameter 35
Process 0: Noise detected in record 615, parameter 17
Process 1: Noise detected in record 429, parameter 1
Process 0: Noise detected in record 638, parameter 3
Process 0: Noise detected in record 706, parameter 39
Process 1: Noise detected in record 478, parameter 28
Process 1: Noise detected in record 491, parameter 27
Process 0: Noise detected in record 757, parameter 21
Process 1: Noise detected in record 625, parameter 20
Process 1: Noise detected in record 651, parameter 13
Process 0: Noise detected in record 827, parameter 5
Process 0: Noise detected in record 845, parameter 10
Process 0: Noise detected in record 938, parameter 16
Process 0: Noise detected in record 971, parameter 26
Process 1: Noise detected in record 725, parameter 39
Process 0: Cleaning completed
Process 1: Noise detected in record 801, parameter 10
Process 1: Noise detected in record 839, parameter 23
Process 1: Noise detected in record 854, parameter 13
Process 1: Noise detected in record 927, parameter 16
Total records processed across all processes: 956000
Process 1: Cleaning completed
Process 0: Noise detected in record 73, parameter 39
Process 0: Noise detected in record 88, parameter 8
Process 1: Noise detected in record 94, parameter 8
Process 1: Noise detected in record 107, parameter 40
Process 1: Noise detected in record 124, parameter 45
Process 1: Noise detected in record 154, parameter 7
Process 1: Noise detected in record 174, parameter 13
Process 1: Noise detected in record 184, parameter 30
Process 1: Noise detected in record 189, parameter 2
Process 1: Noise detected in record 201, parameter 27
Process 1: Noise detected in record 201, parameter 38
Process 1: Noise detected in record 213, parameter 45
Process 1: Noise detected in record 258, parameter 38
Process 0: Noise detected in record 417, parameter 35
Process 0: Noise detected in record 432, parameter 32
Process 1: Noise detected in record 306, parameter 22
Process 1: Noise detected in record 314, parameter 49
Process 0: Noise detected in record 543, parameter 17
Process 0: Noise detected in record 545, parameter 39
Process 0: Noise detected in record 573, parameter 2
Process 0: Noise detected in record 588, parameter 49
Process 0: Noise detected in record 597, parameter 22
Process 1: Noise detected in record 415, parameter 13
Process 0: Noise detected in record 747, parameter 40
Process 1: Noise detected in record 560, parameter 19
Process 1: Noise detected in record 566, parameter 6
Process 1: Noise detected in record 618, parameter 19
Process 1: Noise detected in record 626, parameter 16
Process 1: Noise detected in record 657, parameter 8
Process 0: Noise detected in record 842, parameter 19
Process 0: Noise detected in record 847, parameter 35
Process 0: Noise detected in record 854, parameter 8
Process 0: Noise detected in record 869, parameter 47
Process 1: Noise detected in record 714, parameter 32
Process 1: Noise detected in record 764, parameter 28
Process 0: Noise detected in record 922, parameter 22
Process 0: Noise detected in record 943, parameter 27
Process 0: Cleaning completed
Process 1: Noise detected in record 800, parameter 40
Process 1: Noise detected in record 850, parameter 37
Process 1: Noise detected in record 878, parameter 14
Process 1: Noise detected in record 892, parameter 16
Process 1: Noise detected in record 915, parameter 30
Process 1: Noise detected in record 920, parameter 18
Process 1: Noise detected in record 940, parameter 19
Process 1: Noise detected in record 960, parameter 22
Total records processed across all processes: 958000
Process 1: Cleaning completed
Process 0: Noise detected in record 18, parameter 35
Process 1: Noise detected in record 0, parameter 42
Process 1: Noise detected in record 22, parameter 4
Process 1: Noise detected in record 86, parameter 6
Process 1: Noise detected in record 91, parameter 45
Process 0: Noise detected in record 58, parameter 41
Process 0: Noise detected in record 76, parameter 6
Process 0: Noise detected in record 76, parameter 12
Process 1: Noise detected in record 138, parameter 43
Process 0: Noise detected in record 162, parameter 1
Process 1: Noise detected in record 201, parameter 40
Process 1: Noise detected in record 202, parameter 3
Process 1: Noise detected in record 213, parameter 34
Process 1: Noise detected in record 228, parameter 1
Process 1: Noise detected in record 230, parameter 21
Process 0: Noise detected in record 251, parameter 0
Process 0: Noise detected in record 251, parameter 30
Process 1: Noise detected in record 268, parameter 41
Process 1: Noise detected in record 300, parameter 33
Process 0: Noise detected in record 286, parameter 29
Process 0: Noise detected in record 303, parameter 11
Process 1: Noise detected in record 324, parameter 44
Process 0: Noise detected in record 319, parameter 47
Process 0: Noise detected in record 323, parameter 18
Process 1: Noise detected in record 432, parameter 14
Process 1: Noise detected in record 433, parameter 33
Process 1: Noise detected in record 440, parameter 44
Process 0: Noise detected in record 390, parameter 8
Process 0: Noise detected in record 412, parameter 17
Process 1: Noise detected in record 462, parameter 8
Process 1: Noise detected in record 464, parameter 45
Process 0: Noise detected in record 426, parameter 21
Process 1: Noise detected in record 567, parameter 13
Process 1: Noise detected in record 578, parameter 12
Process 1: Noise detected in record 593, parameter 42
Process 0: Noise detected in record 514, parameter 4
Process 0: Noise detected in record 549, parameter 39
Process 1: Noise detected in record 641, parameter 45
Process 0: Noise detected in record 580, parameter 3
Process 0: Noise detected in record 587, parameter 5
Process 0: Noise detected in record 606, parameter 20
Process 1: Noise detected in record 731, parameter 23
Process 1: Noise detected in record 731, parameter 37
Process 1: Noise detected in record 764, parameter 5
Process 1: Noise detected in record 776, parameter 18
Process 0: Noise detected in record 608, parameter 15
Process 1: Noise detected in record 830, parameter 5
Process 0: Noise detected in record 717, parameter 28
Process 1: Noise detected in record 910, parameter 1
Process 0: Noise detected in record 742, parameter 8
Process 1: Noise detected in record 988, parameter 25
Process 1: Cleaning completed
Process 0: Noise detected in record 786, parameter 5
Process 0: Noise detected in record 796, parameter 6
Process 0: Noise detected in record 801, parameter 46
Process 0: Noise detected in record 802, parameter 49
Process 0: Noise detected in record 827, parameter 22
Process 0: Noise detected in record 852, parameter 35
Process 0: Noise detected in record 898, parameter 13
Process 0: Noise detected in record 916, parameter 7
Process 0: Noise detected in record 943, parameter 8
Process 0: Noise detected in record 953, parameter 30
Process 0: Cleaning completed
Total records processed across all processes: 960000
Process 0: Noise detected in record 44, parameter 46
Process 0: Noise detected in record 55, parameter 27
Process 1: Noise detected in record 0, parameter 4
Process 1: Noise detected in record 0, parameter 12
Process 1: Noise detected in record 1, parameter 41
Process 0: Noise detected in record 131, parameter 33
Process 1: Noise detected in record 82, parameter 48
Process 1: Noise detected in record 108, parameter 48
Process 0: Noise detected in record 217, parameter 38
Process 0: Noise detected in record 277, parameter 48
Process 1: Noise detected in record 135, parameter 23
Process 0: Noise detected in record 417, parameter 22
Process 1: Noise detected in record 280, parameter 25
Process 1: Noise detected in record 317, parameter 42
Process 1: Noise detected in record 319, parameter 8
Process 0: Noise detected in record 443, parameter 28
Process 1: Noise detected in record 390, parameter 6
Process 0: Noise detected in record 481, parameter 26
Process 0: Noise detected in record 495, parameter 6
Process 1: Noise detected in record 515, parameter 36
Process 0: Noise detected in record 571, parameter 38
Process 0: Noise detected in record 597, parameter 37
Process 1: Noise detected in record 574, parameter 23
Process 0: Noise detected in record 601, parameter 47
Process 1: Noise detected in record 601, parameter 39
Process 1: Noise detected in record 635, parameter 49
Process 1: Noise detected in record 644, parameter 38
Process 0: Noise detected in record 777, parameter 47
Process 1: Noise detected in record 724, parameter 14
Process 1: Noise detected in record 775, parameter 11
Process 1: Noise detected in record 828, parameter 32
Process 0: Noise detected in record 842, parameter 3
Process 0: Noise detected in record 847, parameter 15
Process 0: Noise detected in record 870, parameter 16
Process 0: Noise detected in record 875, parameter 7
Process 1: Noise detected in record 884, parameter 6
Process 1: Noise detected in record 885, parameter 13
Process 0: Noise detected in record 921, parameter 47
Process 1: Noise detected in record 897, parameter 22
Process 0: Noise detected in record 929, parameter 41
Process 0: Noise detected in record 954, parameter 40
Process 0: Noise detected in record 956, parameter 25
Process 1: Noise detected in record 932, parameter 10
Process 1: Noise detected in record 951, parameter 48
Process 1: Noise detected in record 969, parameter 20
Process 0: Cleaning completed
Process 1: Cleaning completed
Total records processed across all processes: 962000
Process 1: Noise detected in record 5, parameter 12
Process 0: Noise detected in record 10, parameter 20
Process 0: Noise detected in record 36, parameter 19
Process 0: Noise detected in record 40, parameter 14
Process 0: Noise detected in record 41, parameter 49
Process 1: Noise detected in record 59, parameter 21
Process 0: Noise detected in record 123, parameter 15
Process 1: Noise detected in record 132, parameter 18
Process 1: Noise detected in record 132, parameter 33
Process 1: Noise detected in record 216, parameter 17
Process 0: Noise detected in record 179, parameter 23
Process 0: Noise detected in record 190, parameter 22
Process 0: Noise detected in record 194, parameter 48
Process 1: Noise detected in record 244, parameter 40
Process 1: Noise detected in record 258, parameter 26
Process 0: Noise detected in record 290, parameter 31
Process 0: Noise detected in record 294, parameter 43
Process 0: Noise detected in record 304, parameter 37
Process 0: Noise detected in record 311, parameter 17
Process 1: Noise detected in record 335, parameter 10
Process 0: Noise detected in record 365, parameter 37
Process 1: Noise detected in record 353, parameter 34
Process 1: Noise detected in record 361, parameter 38
Process 0: Noise detected in record 428, parameter 46
Process 1: Noise detected in record 411, parameter 2
Process 1: Noise detected in record 453, parameter 46
Process 1: Noise detected in record 466, parameter 24
Process 1: Noise detected in record 471, parameter 47
Process 0: Noise detected in record 586, parameter 26
Process 0: Noise detected in record 587, parameter 37
Process 1: Noise detected in record 483, parameter 19
Process 0: Noise detected in record 626, parameter 10
Process 1: Noise detected in record 523, parameter 48
Process 1: Noise detected in record 531, parameter 4
Process 0: Noise detected in record 634, parameter 36
Process 0: Noise detected in record 670, parameter 17
Process 1: Noise detected in record 537, parameter 34
Process 0: Noise detected in record 680, parameter 15
Process 1: Noise detected in record 609, parameter 42
Process 0: Noise detected in record 744, parameter 47
Process 1: Noise detected in record 659, parameter 3
Process 0: Noise detected in record 758, parameter 48
Process 0: Noise detected in record 785, parameter 28
Process 0: Noise detected in record 852, parameter 42
Process 0: Noise detected in record 866, parameter 4
Process 0: Noise detected in record 876, parameter 21
Process 1: Noise detected in record 797, parameter 49
Process 0: Noise detected in record 913, parameter 45
Process 0: Noise detected in record 942, parameter 47
Process 0: Cleaning completed
Process 1: Noise detected in record 838, parameter 4
Process 1: Noise detected in record 839, parameter 46
Process 1: Noise detected in record 841, parameter 39
Process 1: Noise detected in record 852, parameter 46
Process 1: Noise detected in record 856, parameter 48
Process 1: Noise detected in record 871, parameter 8
Process 1: Noise detected in record 871, parameter 29
Process 1: Noise detected in record 897, parameter 6
Process 1: Noise detected in record 897, parameter 14
Process 1: Noise detected in record 958, parameter 42
Process 1: Cleaning completed
Total records processed across all processes: 964000
Process 1: Noise detected in record 27, parameter 2
Process 1: Noise detected in record 63, parameter 21
Process 1: Noise detected in record 66, parameter 47
Process 0: Noise detected in record 24, parameter 6
Process 0: Noise detected in record 102, parameter 30
Process 0: Noise detected in record 103, parameter 46
Process 1: Noise detected in record 96, parameter 39
Process 1: Noise detected in record 143, parameter 20
Process 0: Noise detected in record 171, parameter 16
Process 0: Noise detected in record 178, parameter 0
Process 0: Noise detected in record 187, parameter 46
Process 1: Noise detected in record 193, parameter 36
Process 1: Noise detected in record 205, parameter 22
Process 1: Noise detected in record 226, parameter 4
Process 0: Noise detected in record 239, parameter 37
Process 1: Noise detected in record 324, parameter 16
Process 1: Noise detected in record 405, parameter 30
Process 1: Noise detected in record 471, parameter 8
Process 0: Noise detected in record 457, parameter 9
Process 0: Noise detected in record 468, parameter 47
Process 0: Noise detected in record 486, parameter 18
Process 0: Noise detected in record 487, parameter 35
Process 1: Noise detected in record 516, parameter 46
Process 0: Noise detected in record 592, parameter 1
Process 1: Noise detected in record 558, parameter 34
Process 0: Noise detected in record 608, parameter 23
Process 0: Noise detected in record 615, parameter 13
Process 0: Noise detected in record 618, parameter 18
Process 0: Noise detected in record 630, parameter 34
Process 1: Noise detected in record 640, parameter 35
Process 1: Noise detected in record 642, parameter 43
Process 1: Noise detected in record 671, parameter 8
Process 1: Noise detected in record 672, parameter 1
Process 0: Noise detected in record 729, parameter 32
Process 0: Noise detected in record 791, parameter 44
Process 0: Noise detected in record 814, parameter 5
Process 0: Noise detected in record 849, parameter 40
Process 1: Noise detected in record 828, parameter 41
Process 0: Noise detected in record 864, parameter 4
Process 0: Noise detected in record 913, parameter 2
Process 1: Noise detected in record 892, parameter 6
Process 0: Cleaning completed
Total records processed across all processes: 966000
Process 1: Noise detected in record 999, parameter 5
Process 1: Cleaning completed
Process 0: Noise detected in record 19, parameter 3
Process 0: Noise detected in record 61, parameter 6
Process 1: Noise detected in record 44, parameter 30
Process 0: Noise detected in record 106, parameter 46
Process 1: Noise detected in record 96, parameter 2
Process 0: Noise detected in record 122, parameter 26
Process 0: Noise detected in record 140, parameter 21
Process 1: Noise detected in record 106, parameter 0
Process 1: Noise detected in record 115, parameter 11
Process 0: Noise detected in record 148, parameter 48
Process 1: Noise detected in record 143, parameter 13
Process 0: Noise detected in record 172, parameter 15
Process 0: Noise detected in record 197, parameter 36
Process 0: Noise detected in record 203, parameter 38
Process 0: Noise detected in record 242, parameter 14
Process 1: Noise detected in record 302, parameter 45
Process 1: Noise detected in record 320, parameter 49
Process 0: Noise detected in record 280, parameter 3
Process 0: Noise detected in record 333, parameter 19
Process 1: Noise detected in record 363, parameter 19
Process 1: Noise detected in record 388, parameter 27
Process 0: Noise detected in record 348, parameter 13
Process 0: Noise detected in record 392, parameter 24
Process 1: Noise detected in record 421, parameter 11
Process 0: Noise detected in record 411, parameter 31
Process 0: Noise detected in record 458, parameter 47
Process 1: Noise detected in record 541, parameter 32
Process 1: Noise detected in record 543, parameter 20
Process 0: Noise detected in record 519, parameter 22
Process 1: Noise detected in record 548, parameter 1
Process 0: Noise detected in record 575, parameter 34
Process 0: Noise detected in record 596, parameter 37
Process 1: Noise detected in record 604, parameter 46
Process 0: Noise detected in record 605, parameter 31
Process 0: Noise detected in record 612, parameter 46
Process 1: Noise detected in record 674, parameter 16
Process 1: Noise detected in record 707, parameter 34
Process 1: Noise detected in record 759, parameter 29
Process 1: Noise detected in record 790, parameter 21
Process 0: Noise detected in record 891, parameter 31
Process 0: Noise detected in record 910, parameter 11
Process 0: Noise detected in record 922, parameter 49
Process 1: Noise detected in record 850, parameter 28
Process 0: Noise detected in record 978, parameter 30
Process 0: Noise detected in record 983, parameter 33
Process 0: Cleaning completed
Process 1: Noise detected in record 919, parameter 9
Process 1: Noise detected in record 941, parameter 32
Process 1: Noise detected in record 980, parameter 27
Process 1: Noise detected in record 985, parameter 6
Process 1: Cleaning completed
Total records processed across all processes: 968000
Process 1: Noise detected in record 0, parameter 20
Process 1: Noise detected in record 34, parameter 13
Process 1: Noise detected in record 55, parameter 11
Process 0: Noise detected in record 21, parameter 15
Process 0: Noise detected in record 45, parameter 8
Process 1: Noise detected in record 62, parameter 40
Process 1: Noise detected in record 98, parameter 19
Process 0: Noise detected in record 163, parameter 27
Process 1: Noise detected in record 126, parameter 20
Process 1: Noise detected in record 157, parameter 38
Process 0: Noise detected in record 221, parameter 47
Process 0: Noise detected in record 225, parameter 14
Process 1: Noise detected in record 185, parameter 38
Process 1: Noise detected in record 187, parameter 45
Process 0: Noise detected in record 285, parameter 25
Process 0: Noise detected in record 293, parameter 18
Process 1: Noise detected in record 263, parameter 21
Process 1: Noise detected in record 276, parameter 35
Process 0: Noise detected in record 318, parameter 39
Process 0: Noise detected in record 339, parameter 5
Process 1: Noise detected in record 293, parameter 15
Process 1: Noise detected in record 325, parameter 42
Process 1: Noise detected in record 330, parameter 17
Process 1: Noise detected in record 372, parameter 30
Process 0: Noise detected in record 414, parameter 28
Process 1: Noise detected in record 417, parameter 6
Process 0: Noise detected in record 435, parameter 9
Process 0: Noise detected in record 450, parameter 26
Process 0: Noise detected in record 451, parameter 45
Process 1: Noise detected in record 468, parameter 27
Process 1: Noise detected in record 487, parameter 16
Process 0: Noise detected in record 466, parameter 19
Process 1: Noise detected in record 507, parameter 4
Process 1: Noise detected in record 519, parameter 17
Process 1: Noise detected in record 536, parameter 20
Process 1: Noise detected in record 594, parameter 43
Process 0: Noise detected in record 576, parameter 15
Process 1: Noise detected in record 609, parameter 30
Process 1: Noise detected in record 656, parameter 35
Process 1: Noise detected in record 664, parameter 44
Process 0: Noise detected in record 679, parameter 24
Process 1: Noise detected in record 729, parameter 12
Process 0: Noise detected in record 802, parameter 23
Process 0: Noise detected in record 802, parameter 34
Process 0: Noise detected in record 809, parameter 37
Process 1: Noise detected in record 835, parameter 33
Process 1: Noise detected in record 853, parameter 18
Process 0: Noise detected in record 823, parameter 4
Process 1: Noise detected in record 900, parameter 9
Process 1: Cleaning completed
Process 0: Noise detected in record 920, parameter 20
Process 0: Noise detected in record 936, parameter 13
Process 0: Cleaning completed
Total records processed across all processes: 970000
Process 1: Noise detected in record 10, parameter 2
Process 1: Noise detected in record 12, parameter 46
Process 0: Noise detected in record 123, parameter 9
